sample_type,classifier,feature_set,feature,zero_proportion,corr_with_inactive_ratio,is_high_inactive,is_high_corr_with_inactivity,is_inactivity_related
person,Decision Tree,manual_full,activity_morning,0.0,-0.364,False,False,False
person,Decision Tree,manual_full,inactive_night,0.0,0.788,False,True,True
person,Decision Tree,automatic_all_candidates,inactive_morning,0.019,0.81,False,True,True
person,Decision Tree,automatic_all_candidates,inactive_afternoon,0.019,0.806,False,True,True
person,Decision Tree,automatic_all_candidates,inactive_evening,0.019,0.866,False,True,True
person,Decision Tree,automatic_all_candidates,mean,0.0,-0.382,False,False,False
person,Decision Tree,automatic_all_candidates,longest_inactivity,0.0,0.64,False,False,False
person,Decision Tree,automatic_all_candidates,inactive_ratio,0.0,,False,False,False
person,Decision Tree,automatic_all_candidates,sd,0.0,-0.377,False,False,False
person,Decision Tree,automatic_all_candidates,12_hour_day_activity,0.0,-0.342,False,False,False
person,Decision Tree,automatic_all_candidates,IV,0.0,-0.202,False,False,False
person,Decision Tree,automatic_all_candidates,12_hour_night_activity,0.0,-0.403,False,False,False
person,Decision Tree,automatic_all_candidates,day_night_ratio,0.0,0.29,False,False,False
person,Decision Tree,automatic_all_candidates,mean_absolute_change_activity,0.0,-0.41,False,False,False
person,Decision Tree,automatic_all_candidates,IS,0.0,0.051,False,False,False
person,Decision Tree,automatic_all_candidates,daily_mean_activity_variance,0.0,-0.101,False,False,False
person,Decision Tree,automatic_all_candidates,RA,0.0,-0.027,False,False,False
person,Decision Tree,automatic_all_candidates,activity_night,0.0,-0.196,False,False,False
